leg,point,X,Y,Z,residPx,epiPx,uA,vA,uB,vB
body,1,-1.36277923969643,-0.442756078355881,2.65637524927646,NaN,NaN,NaN,NaN,NaN,NaN
body,2,-1.08351409068584,-0.447198738444606,2.53239641400434,NaN,NaN,NaN,NaN,NaN,NaN
leg1,1,-1.2787836926799,-0.261265410906575,2.66782119275825,NaN,NaN,NaN,NaN,NaN,NaN
leg1,2,-1.511004950781,0.641574059668022,2.51676327323203,NaN,NaN,NaN,NaN,NaN,NaN
leg1,3,-0.249909102091986,-0.399928948077028,2.74230883927642,6.59232921479992,12.9990523409777,1325.93788580247,1769.4152191358,1562.24845679012,2000.95524691358
leg1,4,0.0246618375227138,-0.471794282391778,2.80063185235367,0.0468696213200195,0.0927772503859717,1267.94483024691,1736.27633024691,1526.10339506173,1954.48302469136
leg1,5,0.161575134121314,-0.196364091627228,3.1427503576955,1.83270051041904,3.58519496044841,1338.82523148148,1608.32339814815,1614.62191358025,1847.52314814815
leg2,1,-1.30646158739114,-0.293188885715254,2.63106457695597,NaN,NaN,NaN,NaN,NaN,NaN
leg2,2,-1.46742677741613,0.239727493599615,1.87098260580309,NaN,NaN,NaN,NaN,NaN,NaN
leg3,1,-1.38637847543553,-0.370927082708904,2.41356164043834,NaN,NaN,NaN,NaN,NaN,NaN
leg3,2,-0.961321663393075,-0.114134533872254,1.72841821174265,NaN,NaN,NaN,NaN,NaN,NaN
leg4,1,-1.48862329567235,-0.639511257015573,2.67947708118626,NaN,NaN,NaN,NaN,NaN,NaN
leg4,2,-1.70208457049331,-1.55409662912598,2.26008403763447,NaN,NaN,NaN,NaN,NaN,NaN
leg5,1,-1.45817526718404,-0.572582980157999,2.64827870516157,NaN,NaN,NaN,NaN,NaN,NaN
leg5,2,-1.77254898886341,-1.19344543213038,1.87873002766613,NaN,NaN,NaN,NaN,NaN,NaN
leg6,1,-1.27969195353808,-0.584528035159753,2.67323804007126,NaN,NaN,NaN,NaN,NaN,NaN
leg6,2,0.268896528874976,-0.982011137772869,2.23199970611498,NaN,NaN,NaN,NaN,NaN,NaN
leg7,1,-1.42460474509385,-0.668420053813364,2.72837362868364,NaN,NaN,NaN,NaN,NaN,NaN
leg7,2,-0.626082154574365,-1.37684648059271,2.45279672408336,NaN,NaN,NaN,NaN,NaN,NaN
leg8,1,-1.18283644036449,-0.246769902000317,2.57576033661742,NaN,NaN,NaN,NaN,NaN,NaN
leg8,2,0.444901852093621,0.703647886264495,2.02849653016141,NaN,NaN,NaN,NaN,NaN,NaN
leg9,1,-0.125722018611836,0.123880616959269,2.644979420882,4.11064019291925,7.98154259156365,1454.81134259259,1785.98466358025,1708.30401234568,2040.78858024691
leg9,2,-0.26850975274137,0.0932900298383704,3.08685998429249,2.51750097020074,4.86847929811479,1478.7449845679,1658.95225617284,1726.00771604938,1911.69907407407
